dataset,participant_id,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,17,STRATUS-H,7.023247248111102,26.974127271414503,0.941006600660066,0.0,1.0,0.8268783829762214,0.9005222807403269,0.5787429572768095,0.6196146755684118,0.9990253411306044,1.0,0.869403067856992
Autism,17,Hybrid-P,7.074061969629342,27.514994213081767,0.941006600660066,0.0,1.0,0.8389137282394945,0.8885996181754269,0.5878257283667642,0.6392094859205805,0.9990253411306044,1.0,0.8733445664671005
Autism,17,Pointwise-D,4.562217496400062,24.77721365361153,0.941006600660066,0.0,1.0,0.9537492839576698,0.9974032022450462,0.5503759369056973,0.5794842935969949,0.9990253411306044,1.0,0.9061273559599424
Autism,17,STRATUS-D,4.881280695839233,28.73640976388269,0.941006600660066,0.0,1.0,0.9676079031153478,0.9974032022450462,0.4392658561343746,0.4682094583166025,0.9990253411306044,1.0,0.8866441127353994
Autism,18,STRATUS-H,3.8137791928636178,25.69908111358548,0.941006600660066,0.0,1.0,0.6394745793234807,0.9641919119205942,0.727598496297727,0.727598496297727,0.9988304093567252,1.0,0.8662529975083604
Autism,18,Hybrid-P,3.9191082092012506,25.65880542314124,0.941006600660066,0.0,1.0,0.638242638530338,0.9496391789650488,0.7366620177286098,0.7366620177286098,0.9988304093567252,1.0,0.8649087670447994
Autism,18,Pointwise-D,3.0478007343994644,25.462659475454743,0.941006600660066,0.0,1.0,0.8774182248711756,0.996321158703122,0.536639297791423,0.536639297791423,0.9988304093567252,1.0,0.882075736273144
Autism,18,STRATUS-D,3.256811864187049,27.608696662437875,0.941006600660066,0.0,1.0,0.928354519102212,0.9964191979188084,0.3845307122711744,0.3845307122711744,0.9988304093567252,1.0,0.8618608858584389
Autism,2,STRATUS-H,3.2700473522032487,17.226862545268187,0.941006600660066,0.0,1.0,0.9028909159883466,0.9562330673183028,0.6619852482353932,0.6619852482353932,0.999122807017544,1.0,0.9042218463084084
Autism,2,Hybrid-P,3.7454662050025034,17.385917225470326,0.941006600660066,0.0,1.0,0.8720287499003168,0.909560854875289,0.6876624203339936,0.6876624203339936,0.999122807017544,1.0,0.8938504050219199
Autism,2,Pointwise-D,2.8110197178314604,19.53734346669817,0.941006600660066,0.0,1.0,0.9619278183975682,0.9967883185485183,0.5469740724586099,0.5469740724586099,0.999122807017544,1.0,0.9011380418809392
Autism,2,STRATUS-D,3.3912021053981567,25.17962056826237,0.941006600660066,0.0,1.0,0.9717685575015196,0.9967883185485183,0.3454121752074026,0.3454121752074026,0.999122807017544,1.0,0.8627938102514883
Autism,23,STRATUS-H,8.473783765144491,46.73629491260379,0.9408602150537636,0.0,1.0,0.4938139186580563,0.9020485071609756,-0.1444998853253,0.6206705146811662,0.9997067448680352,1.0,0.8033065881000396
Autism,23,Hybrid-P,8.704618783353355,47.11633319798269,0.9408602150537636,0.0,1.0,0.4770675830141433,0.8830581074876819,-0.1323772892476607,0.6368737044422257,0.9997067448680352,1.0,0.7993998789888103
Autism,23,Pointwise-D,4.931032162851563,41.7993882886338,0.9408602150537636,0.0,1.0,0.858669829541551,0.9965263367267712,0.1287218052434859,0.4483936842516829,0.9997067448680352,1.0,0.8607179701040011
Autism,23,STRATUS-D,4.484128841999239,40.28615712255088,0.9408602150537636,0.0,1.0,0.9431639062165746,0.9965263367267712,0.3324629819967572,0.3324629819967572,0.9997067448680352,1.0,0.8544306449880207
Autism,37,STRATUS-H,3.616070167293713,19.006201806794994,0.941006600660066,0.0,1.0,0.9164853997515572,0.9797137579323004,0.615914882568435,0.6184524895788032,0.999122807017544,1.0,0.902930329452532
Autism,37,Hybrid-P,4.380913306917194,19.981291364902123,0.941006600660066,0.0,1.0,0.874109598976706,0.9282128394128962,0.6704523565299894,0.6704523565299894,0.999122807017544,1.0,0.8945549589839183
Autism,37,Pointwise-D,3.4567562756166104,21.129953226207967,0.941006600660066,0.0,1.0,0.9558605530761874,0.9967009975992392,0.5459644154546021,0.5459644154546021,0.999122807017544,1.0,0.8997051932260056
Autism,37,STRATUS-D,3.860291078793858,24.669385733690024,0.941006600660066,0.0,1.0,0.9664711547776385,0.9967009975992392,0.4159676597741905,0.4159676597741905,0.999122807017544,1.0,0.8758279624302135
Autism,46,STRATUS-H,3.781602614721909,17.30601432123193,0.941006600660066,0.0,1.0,0.8605273280631793,0.9737984524637696,0.5656980013998104,0.6721459177478911,0.9997076023391812,1.0,0.901294339654968
Autism,46,Hybrid-P,4.0585464201280885,17.058636440178095,0.941006600660066,0.0,1.0,0.8477436832833888,0.9417425169851552,0.645218863646964,0.6824134949367984,0.9997076023391812,1.0,0.8943799390410685
Autism,46,Pointwise-D,2.708014085293151,17.186652973928137,0.941006600660066,0.0,1.0,0.9649635608190028,0.9985641761786764,0.5675427465450571,0.5675427465450571,0.9997076023391812,1.0,0.9062140967085472
Autism,46,STRATUS-D,2.982054903861284,19.312752043743004,0.941006600660066,0.0,1.0,0.9877617435267008,0.9985641761786764,0.4196022654592328,0.4196022654592328,0.9997076023391812,1.0,0.8811856370329221
Autism,50,STRATUS-H,9.62124398512804,33.46922727452294,0.9408602150537636,0.0,1.0,0.7155771252079152,0.8978945852309679,0.5551173639920199,0.6016583517213309,0.9994134897360704,1.0,0.8430260124320428
Autism,50,Hybrid-P,10.762087617271929,34.41788741911401,0.9408602150537636,0.0,1.0,0.6702067143343448,0.8586936583656724,0.5916337101169478,0.6258785181981635,0.9994134897360704,1.0,0.8309557781796361
Autism,50,Pointwise-D,4.0973555209400665,26.02230556112593,0.9408602150537636,0.0,1.0,0.9670726879455772,0.9956119501821696,0.5378779035265417,0.5378779035265417,0.9994134897360704,1.0,0.9001125083308578
Autism,50,STRATUS-D,4.585514670006219,29.715404710836197,0.9408602150537636,0.0,1.0,0.9648240913432158,0.9956119501821696,0.3353618800436206,0.3353618800436206,0.9994134897360704,1.0,0.8591595843138012
Autism,52,STRATUS-H,11.107105325322708,26.24201172973661,0.941006600660066,0.0,1.0,0.6870680512466341,0.7488648451328971,0.0244726572489103,0.6068281112803711,0.9431749764934771,1.0,0.8085522015319805
Autism,52,Hybrid-P,11.474125320534965,26.658552017318,0.941006600660066,0.0,1.0,0.7031157666881362,0.7223171557517013,-0.0260448929111087,0.6138344130503456,0.9431749764934771,1.0,0.8078534670980366
Autism,52,Pointwise-D,4.400462861574431,21.800492142848626,0.941006600660066,0.0,1.0,0.9245847991886684,0.9455015812400892,0.5154595429858041,0.5154595429858041,0.9432574847443024,1.0,0.8771091846829122
Autism,52,STRATUS-D,4.302880117021732,21.792222548690816,0.941006600660066,0.0,1.0,0.9533017212560934,0.9456317895734226,0.3843216247237092,0.3843216247237092,0.9432574847443024,1.0,0.856651027110645
Autism,53,STRATUS-H,3.31518672684862,16.263501993233582,0.941006600660066,0.0,1.0,0.8698034778082158,0.9624127686429446,0.6629541306277424,0.6705296020136022,0.9992202729044836,1.0,0.9005491696929525
Autism,53,Hybrid-P,3.5518457616037584,16.08624073559875,0.941006600660066,0.0,1.0,0.8797903566114655,0.9193945721313074,0.6055935031549241,0.6965118231130488,0.9992202729044836,1.0,0.8991393503711643
